reaction_id,chemical_composition,surface_composition,facet,sites,reaction_energy_eV,publication_id,publication_title,publication_doi
UmVhY3Rpb246NDA5MDg4,Fe3La9,La3Fe,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.3395675619223653,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTE3,La9Mn3,La3Mn,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.504843521020291,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTQ2,Au3La9,La3Au,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-4.098026518918402,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTc1,Ag3La9,La3Ag,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.8875894583226795,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MjA0,La9Zn3,La3Zn,111,"{""H"": ""hollow"", ""N"": ""hollow""}",-3.4933388200126387,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4NzY1,La9Nb3,La3Nb,111,"{""O"": ""hollow""}",-10.442539717962973,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDE2MTk5,In3Ta9,Ta3In,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-10.602686875406334,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4Njg5,La9Ti3,La3Ti,111,"{""C"": ""bridge"", ""H"": ""hollow-tilt""}",-3.1026149128161933,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTE1,La9Re3,La3Re,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-10.5410962209628,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTQ0,La9Tc3,La3Tc,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-10.895904094761363,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTcz,La9Os3,La3Os,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-11.007546552258873,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDAy,Ir3La9,La3Ir,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-11.400975543065442,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDMx,La9Rh3,La3Rh,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-11.560918887264279,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDYw,Co6La6,CoLa,101,"{""O"": ""hollow"", ""S"": ""bridge""}",-8.77635552695051,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDg5,Fe3La9,La3Fe,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-11.021294151362099,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTE4,La9Mn3,La3Mn,111,"{""O"": ""hollow"", ""S"": ""bridge""}",-11.34211704766335,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTQ3,Au3La9,La3Au,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-11.876505768856305,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTc2,Ag3La9,La3Ag,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-11.823392820964955,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MjA1,La9Zn3,La3Zn,111,"{""O"": ""hollow"", ""S"": ""hollow""}",-11.23924332235606,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTE2,La9Re3,La3Re,111,"{""C"": ""hollow-tilt"", ""H"": ""hollow""}",-2.697871972836424,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTQ1,La9Tc3,La3Tc,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-0.16186623681335277,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTc0,La9Os3,La3Os,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-0.05790432822743696,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDAz,Ir3La9,La3Ir,111,"{""C"": ""hollow-tilt"", ""H"": ""hollow""}",-0.9921029738258085,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDMy,La9Rh3,La3Rh,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-1.0559974796202596,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDYx,Co6La6,CoLa,101,"{""C"": ""bridge"", ""H"": ""hollow-tilt""}",-2.504983534185726,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDkw,Fe3La9,La3Fe,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-0.4505972508273999,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTE5,La9Mn3,La3Mn,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-2.205006326818534,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDE2MjAw,In3Ta9,Ta3In,111,"{""H"": ""hollow"", ""O"": ""hollow""}",-11.003279263067498,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4Njkw,La9Ti3,La3Ti,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-11.15938430560459,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTQ4,Au3La9,La3Au,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-1.999728545219682,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTc3,Ag3La9,La3Ag,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-1.808886946026746,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MjA2,La9Zn3,La3Zn,111,"{""C"": ""hollow"", ""H"": ""hollow""}",-0.9631742792049636,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4Njkx,La9Ti3,La3Ti,111,"{""H"": ""hollow-tilt"", ""O"": ""hollow""}",-11.3425690286615,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDE2MjAx,In3Ta9,Ta3In,111,"{""H"": ""hollow"", ""O"": ""hollow"", ""S"": ""hollow""}",-19.424547183263712,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4NzY3,Cr9V3,Cr3V,111,"{""S"": ""bridge|A_A|B""}",-3.0786736571935194,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTE3,La9Re3,La3Re,111,"{""N"": ""hollow-tilt"", ""O"": ""hollow""}",-9.764163591609076,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTQ2,La9Tc3,La3Tc,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-9.879907757303272,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTc1,La9Os3,La3Os,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-9.831183053306859,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDA0,Ir3La9,La3Ir,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-10.352218332010352,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDMz,La9Rh3,La3Rh,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-10.570577578605707,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDYy,Co6La6,CoLa,101,"{""N"": ""bridge"", ""O"": ""hollow""}",-7.808220204196232,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MDkx,Fe3La9,La3Fe,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-9.911605617905707,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTIw,La9Mn3,La3Mn,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-10.205568293208898,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTQ5,Au3La9,La3Au,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-11.077152592000175,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MTc4,Ag3La9,La3Ag,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-10.895321634908441,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA5MjA3,La9Zn3,La3Zn,111,"{""N"": ""hollow"", ""O"": ""hollow""}",-10.225362261896635,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4NzY4,La9Nb3,La3Nb,111,"{""H"": ""hollow-tilt""}",-1.569819564914667,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTE4,La9Re3,La3Re,111,"{""H"": ""hollow"", ""O"": ""hollow""}",-10.615645208469914,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
UmVhY3Rpb246NDA4OTQ3,La9Tc3,La3Tc,111,"{""H"": ""hollow"", ""O"": ""hollow""}",-10.87017613946341,MamunHighT2019,High-Throughput Calculations of Catalytic Properties of Bimetallic Alloy Surfaces,10.1038/s41597-019-0080-z
