material_id,pretty_formula,spacegroup,band_gap,formation_energy_per_atom,e_above_hull
mp-754837,Hf2N2O,,2.436,-2.460575459499999,0.07296593925
mp-754860,Co2OF3,,0.0,-1.926920738666667,0.09745123133333301
mp-754948,Cu6OF11,,0.0,-1.701878467222223,0.017690724878470003
mp-755284,Cr4OF11,,0.9814,-2.880450571875,0.036015597458336004
mp-755385,Fe3OF5,,1.434599999999999,-2.369795341666666,0.065793141172839
mp-755430,Co3OF5,,0.10590000000000001,-2.0641529,0.065990104444443
mp-755758,FeOF,,1.3565,-2.015890869444444,0.109725222407409
mp-755763,Fe3OF5,,0.0,-2.364327564999999,0.071260917839506
mp-755787,Fe10OF19,,0.486699999999999,-2.480997173083333,0.064055727370371
mp-755836,Fe6OF11,,1.8603,-2.472946034999999,0.040135545586414
mp-755878,Cu6OF11,,0.0,-1.703468717222223,0.016100474878469002
